Date,open,high,low,close,volume,logret_1,overnight_ret,roc_5,rsi_14,macd_hist,atr_14_pct,vol_z_21,dist_sma20,roc_21,dist_sma50,dist_sma200,dist_sma400,bb_width_20_2,sma_slope_20,from_52w_high,from_52w_low,vol_ratio_21_252,vol_ratio_252_1260,trend_ok,drawdown_long,roc_1260,trend_slope_3y,from_ath,hv_yz_30_ext,hv_yz_270_ext,iv_atm_30_ext,iv_atm_90_ext,iv_atm_360_ext,iv_skew_30_ext,pc_ratio_oi_30_ext,pc_ratio_vol_30_ext,iv_ts_ratio_30_360,iv_minus_hv30,news_sent_mean,news_mean_w3,news_std_w3,news_mean_w21,news_std_w21,news_mean_w63,news_std_w63,news_mean_w126,news_std_w126
09-02-23,101.32,101.78,97.57,98.24,64622489,-0.018256597,0.012613764,-12.992649,50.321034,-0.42318084,4.3135764,-0.86514745,-0.015641126,9.3134528,0.057676986,-0.11493921,-0.28765009,17.220127,0.56645,-0.4197797,0.20068443,1.0813229,1.3577193,0,-0.56145264,38.68067,-0.000274521,-0.47344301,0.5185,0.5021,0.4115,0.4143,0.3861,3.8,0.93,0.39,1.065786066,-0.107,0,0,0,-0.404761905,1.743143354,-0.404761905,1.983777747,-0.408730159,2.189607805
10-02-23,97.56,98.8163,96.23,97.61,52740133,-0.006433517,-0.006945891,-5.5904826,49.348634,-0.7147441,4.2205751,-1.2036146,-0.023098941,2.6501209,0.049721143,-0.11895681,-0.29108332,16.823052,0.37085,-0.42350058,0.1929846,1.0117675,1.3601315,0,-0.56145264,44.553869,-0.000280992,-0.47681975,0.5165,0.5021,0.4002,0.411,0.3843,3.83,0.85,1.24,1.041373927,-0.1163,0,0,0,-0.404761905,1.743143354,-0.404761905,1.983777747,-0.408730159,2.189607805
13-02-23,97.85,99.68,96.91,99.54,52841464,0.019579626,0.002455747,-2.5836759,52.384255,-0.76425674,4.0418886,-1.1036819,-0.004490494,4.4819985,0.069786537,-0.099967327,-0.27595761,16.734998,0.19835,-0.4121017,0.21657297,1.0192839,1.360733,0,-0.56145264,48.611526,-0.00028721,-0.46647514,0.5139,0.4994,0.4005,0.4081,0.3802,4.42,0.77,0.69,1.053392951,-0.1134,0,0,0,-0.119047619,1.214052265,-0.246031746,1.565686157,-0.408730159,2.189607805
14-02-23,98.41,100.9207,97.52,99.7,56202898,0.001606104,-0.011417149,-2.3601998,52.637673,-0.77067658,3.9907972,-0.90759246,-0.004706928,1.6102731,0.070539651,-0.096687118,-0.27367925,16.315821,0.1244,-0.41115672,0.21852848,1.0015466,1.3585488,0,-0.56145264,43.843374,-0.000293459,-0.46561755,0.5074,0.4982,0.3759,0.3961,0.373,4.15,0.69,0.51,1.007774799,-0.1315,0,0,0,-0.119047619,1.214052265,-0.246031746,1.565686157,-0.408730159,2.189607805
15-02-23,99.09,101.17,98.45,101.16,48053879,0.014537745,-0.006137149,1.1094453,54.991623,-0.66503065,3.8443147,-1.1237208,0.007003031,5.3201458,0.084579163,-0.082498038,-0.26196235,15.703087,0.15645,-0.40253374,0.23637253,0.99200991,1.3589524,0,-0.56145264,43.031863,-0.000299626,-0.45779209,0.4977,0.4972,0.3623,0.3898,0.3665,2.72,0.62,2.4,0.988540246,-0.1354,0,0,0,-0.119047619,1.214052265,-0.150793651,1.384823984,-0.408730159,2.189607805
16-02-23,99.21,100.63,98.1,98.15,56339173,-0.030206501,-0.019464606,-0.091612378,49.526498,-0.77843143,3.9018859,-0.78153209,-0.025129122,2.8179342,0.050699039,-0.10873315,-0.2828692,14.582912,0.19915,-0.42031125,0.19958445,1.0155809,1.3606239,0,-0.56145264,35.281348,-0.000306007,-0.47392541,0.5001,0.4968,0.3802,0.399,0.3749,6.23,0.65,0.55,1.014137103,-0.1199,0,0,0,-0.119047619,1.214052265,-0.150793651,1.384823984,-0.408730159,2.189607805
17-02-23,97.8,97.94,95.65,97.2,60029405,-0.009726209,-0.003572344,-0.42003893,47.908212,-0.88994318,3.8423069,-0.63464988,-0.034540985,3.7574722,0.038539207,-0.11627428,-0.2887674,14.592618,0.18855,-0.4259221,0.1879736,1.0083665,1.3603409,0,-0.56145264,32.990368,-0.000312417,-0.47901732,0.491,0.4953,0.3738,0.4025,0.3785,4.77,0.67,0.77,0.987582563,-0.1172,0,0,0,-0.119047619,1.214052265,-0.150793651,1.384823984,-0.408730159,2.189607805
21-02-23,95.335,95.605,94.27,94.58,56580360,-0.027324674,-0.019373707,-4.9829214,43.670173,-1.0989725,3.8879702,-0.72745311,-0.059190992,-2.7455013,0.009225805,-0.13886769,-0.3068724,15.322018,0.0939,-0.44139621,0.15595209,0.99165447,1.3603164,0,-0.56145264,30.573138,-0.000319193,-0.49306026,0.4966,0.4943,0.4034,0.4166,0.3874,5.45,0.81,0.19,1.041300981,-0.0932,0,0,0,-0.119047619,1.214052265,-0.150793651,1.384823984,-0.408730159,2.189607805
22-02-23,95.1,97.01,94.8,95.79,59534094,0.012712258,0.005482932,-3.9217653,46.044076,-1.1112397,3.7458539,-0.59441287,-0.046903606,-1.7739951,0.020951951,-0.12703154,-0.29692976,15.447789,-0.00545,-0.43424977,0.17074065,0.99607062,1.3605688,0,-0.56145264,30.47298,-0.000326115,-0.48657478,0.4969,0.4934,0.3966,0.4089,0.3833,5.68,0.55,0.29,1.034698669,-0.1003,6,2,2.828427125,0.166666667,1.781741613,-0.055555556,1.58392498,-0.361111111,2.262024698
23-02-23,96.12,96.43,93.67,95.82,48466994,0.000313136,0.003439116,-5.2787663,46.104721,-1.0723094,3.6829468,-0.91843351,-0.045959616,-0.51910299,0.019808682,-0.12600335,-0.29559694,15.732809,-0.06615,-0.43407259,0.17110731,0.99283281,1.3601219,0,-0.56145264,29.231516,-0.000333475,-0.48641398,0.5016,0.4928,0.3858,0.4067,0.3799,5.58,0.53,0.44,1.015530403,-0.1158,0,2,2.828427125,0.166666667,1.781741613,-0.055555556,1.58392498,-0.361111111,2.262024698
